BALB/c VS. BALB/c Foxn1nu/nu 															BALB/c +OVA VS. BALB/c Foxn1nu/nu 															BALB/c +OVA+anti-PD-1 antibody VS. BALB/c Foxn1nu/nu 													
id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc		id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc		id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Control_Rosa26-intron	47	0.97132	0.99751	0.999905	72	6	0.19286	0.23314	0.452	0.999995	21	3	0.19286		SNRPN	8	0.9191	0.91989	0.999585	72	0	0.26606	0.40049	0.40091	0.999995	32	0	0.26606		MAPK14	8	0.95068	0.95074	0.997178	72	0	0.72448	0.23101	0.34155	0.999995	25	2	0.72448
CXXC1	8	0.98172	0.98164	0.999905	73	0	0.85393	0.0073454	0.019606	0.542427	3	3	0.85393		CXXC1	8	0.92343	0.92417	0.999585	73	0	0.44748	0.041587	0.074442	0.653275	9	2	0.44748		STAT3	8	0.9528	0.95302	0.997178	73	0	0.38347	0.68887	0.68859	0.999995	53	0	0.38347
JAK3	8	0.98232	0.98215	0.999905	74	0	0.49713	0.20429	0.22525	0.982822	19	1	0.49713		LOXL2	8	0.92448	0.9252	0.999585	74	0	0.16823	0.50644	0.50687	0.999995	38	0	0.16823		Control_Rosa26-intron	47	0.95506	0.99718	0.997178	74	7	0.18403	0.49408	0.77933	0.999995	38	4	0.18403
LCN12	8	0.98603	0.98634	0.999905	75	0	0.058451	0.82517	0.8248	0.999995	63	0	0.058451		MAZ	8	0.92856	0.92903	0.999585	75	0	-0.083996	0.74814	0.74721	0.999995	52	0	-0.083996		CXXC1	8	0.97044	0.97073	0.997178	75	0	0.43112	0.2004	0.30461	0.999995	22	2	0.43112
LATS1	8	0.98783	0.9881	0.999905	76	0	0.16905	0.30482	0.30974	0.982822	26	1	0.16905		negCtrl_PPP1R12C	41	0.93837	0.99022	0.999585	76	4	0.12607	0.37795	0.5771	0.999995	29	2	0.12607		JAK3	8	0.97591	0.97617	0.997178	76	0	0.4341	0.65884	0.65868	0.999995	51	0	0.4341
DDX60	8	0.98845	0.98865	0.999905	77	0	0.21526	0.59563	0.59606	0.999995	44	0	0.21526		PTPN2	8	0.95615	0.95652	0.999585	77	0	0.50355	0.044178	0.078708	0.653275	10	1	0.50355		TRIM66	8	0.97812	0.9783	0.997178	77	0	0.23121	0.83369	0.83374	0.999995	63	0	0.23121
negCtrl_COL1A1	41	0.98977	0.99884	0.999905	78	2	0.15179	0.14221	0.31765	0.982822	14	4	0.15179		DDX59	8	0.96552	0.96573	0.999585	78	0	0.56522	0.76556	0.7652	0.999995	53	0	0.56522		B2M	8	0.97847	0.97852	0.997178	78	0	1.6856	2.92E-05	0.00014486	0.012023	1	5	1.6856
PTPN2	8	0.99162	0.99165	0.999905	79	0	0.39427	0.19605	0.2188	0.982822	18	1	0.39427		SSXB9	8	0.97433	0.97459	0.999585	79	0	0.27988	0.73901	0.73799	0.999995	51	0	0.27988		SSXB9	8	0.97916	0.97917	0.997178	79	0	0.93656	0.1634	0.26016	0.999995	21	2	0.93656
TRIM66	8	0.99741	0.99733	0.999905	80	0	0.21939	0.05376	0.093304	0.968024	9	1	0.21939		JAK3	8	0.98232	0.98215	0.999585	80	0	0.64256	0.37441	0.37429	0.999995	28	1	0.64256		LCN12	8	0.98504	0.98513	0.997178	80	0	0.57784	0.037597	0.089427	0.808976	10	3	0.57784
PDCD11	8	0.99839	0.99837	0.999905	81	0	0.40243	0.27514	0.28379	0.982822	24	1	0.40243		GUCY2E	8	0.98783	0.9881	0.999585	81	0	0.41617	0.053556	0.092804	0.687811	11	2	0.41617		DDX60	8	0.98554	0.98573	0.997178	81	0	0.63892	0.55298	0.5627	0.999995	42	1	0.63892
DDX59	8	0.99908	0.99898	0.999905	82	0	0.6036	0.053556	0.093064	0.968024	8	2	0.6036		MAPK14	8	0.99505	0.99488	0.999585	82	0	0.49156	0.72638	0.72568	0.999995	49	0	0.49156		ESPN	8	0.99066	0.99076	0.997178	82	0	0.073883	0.098959	0.18318	0.999995	15	2	0.073883
LATS2	8	0.99993	0.99991	0.999905	83	0	0.71181	0.34734	0.34925	0.982822	30	1	0.71181		LATS2	8	0.99965	0.99959	0.999585	83	0	0.69955	0.037143	0.067509	0.653275	8	2	0.69955		DDX25	8	0.99485	0.99476	0.997178	83	0	0.82376	0.049599	0.11303	0.808976	12	3	0.82376
