BALB/c VS. BALB/c Foxn1nu/nu 															BALB/c +OVA VS. BALB/c Foxn1nu/nu 															BALB/c +OVA+anti-PD-1 antibody VS. BALB/c Foxn1nu/nu 													
id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc		id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc		id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
GUK1	8	0.045209	0.12811	0.625476	17	4	-0.44159	0.9709	0.97117	0.999995	72	0	-0.44159		SLC39A10	8	0.047242	0.12995	0.63445	17	4	-0.38861	0.63051	0.63065	0.999995	43	0	-0.38861		PAK2	8	0.045209	0.14147	0.690689	17	4	-0.6958	0.98603	0.98634	0.999995	78	0	-0.6958
SERPINB9	8	0.078983	0.19964	0.920559	18	3	-0.36427	0.93431	0.93457	0.999995	68	0	-0.36427		KDM5C	8	0.066819	0.17322	0.798715	18	4	-0.31239	0.97474	0.97502	0.999995	76	0	-0.31239		EZH2	8	0.048601	0.14992	0.691289	18	5	-0.60272	0.86425	0.86465	0.999995	65	0	-0.60272
TAF12	8	0.14209	0.29558	0.999905	19	3	-0.16524	0.14506	0.1812	0.982822	15	1	-0.16524		GUK1	8	0.086709	0.20567	0.898468	19	2	-0.12123	0.70986	0.70936	0.999995	48	0	-0.12123		KDM1A	8	0.053975	0.16379	0.715523	19	5	-0.48358	0.38757	0.44539	0.999995	33	1	-0.48358
TAF1	8	0.16509	0.3254	0.999905	20	3	-0.22554	0.47311	0.47352	0.999995	38	0	-0.22554		CD274	8	0.095846	0.21897	0.908727	20	2	-0.34245	0.99674	0.99667	0.999995	79	0	-0.34245		PRKAA1	8	0.065552	0.18617	0.772616	20	4	-0.48449	0.64694	0.64679	0.999995	49	1	-0.48449
ATRX	8	0.21337	0.38798	0.999905	21	3	0.32722	0.75407	0.75345	0.999995	57	0	0.32722		EPN3	8	0.19951	0.36493	0.999585	21	3	-0.33831	0.85711	0.85757	0.999995	63	0	-0.33831		JAK1	8	0.091253	0.23307	0.889435	21	4	-0.57085	0.7359	0.73486	0.999995	56	0	-0.57085
KDM5C	8	0.23327	0.41289	0.999905	22	3	-0.32385	0.99661	0.99658	0.999995	78	0	-0.32385		PAK2	8	0.21617	0.38787	0.999585	22	3	-0.3409	0.95348	0.95389	0.999995	71	0	-0.3409		DDX28	8	0.092766	0.23575	0.889435	22	4	-0.35035	0.011725	0.036519	0.505182	6	3	-0.35035
TIGIT	8	0.25076	0.43416	0.999905	23	3	-0.16497	0.63051	0.63065	0.999995	49	0	-0.16497		KDM2B	8	0.2975	0.46357	0.999585	23	1	-0.39385	0.83369	0.83374	0.999995	60	0	-0.39385		TAF12	8	0.10995	0.26656	0.961948	23	4	-0.081433	0.14506	0.23802	0.999995	19	2	-0.081433
GUCY2E	8	0.2686	0.4564	0.999905	24	3	-0.03317	0.024759	0.048807	0.810199	5	1	-0.03317		SERPINB9	8	0.29777	0.46374	0.999585	24	2	-0.2335	0.58647	0.58678	0.999995	41	0	-0.2335		TIGIT	8	0.12221	0.28743	0.99404	24	4	-0.3979	0.703	0.70254	0.999995	55	0	-0.3979
GNB5	8	0.27798	0.46836	0.999905	25	2	0.17058	0.10042	0.1493	0.982822	12	1	0.17058		TAF12	8	0.30174	0.46702	0.999585	25	2	-0.029236	0.12744	0.16603	0.842576	16	1	-0.029236		CCDC130	8	0.15252	0.3377	0.997178	25	3	-0.22746	0.88229	0.88279	0.999995	66	0	-0.22746
EZH2	8	0.28067	0.47171	0.999905	26	3	-0.16478	0.78455	0.78392	0.999995	60	0	-0.16478		VPS39	8	0.39406	0.54483	0.999585	26	2	-0.060002	0.97044	0.97073	0.999995	75	0	-0.060002		negCtrl_GT(ROSA)26SOR	39	0.15736	0.50091	0.997178	26	7	0.48734	0.027263	0.11696	0.808976	9	8	0.48734
CLDN6	8	0.32953	0.5115	0.999905	27	2	0.18034	0.4788	0.47922	0.999995	39	0	0.18034		TRIM66	8	0.4161	0.56401	0.999585	27	2	0.097802	0.072673	0.12217	0.724266	14	1	0.097802		ZFP622	8	0.17373	0.3713	0.997178	27	4	-0.43413	0.96499	0.96518	0.999995	74	0	-0.43413
negCtrl_GT(ROSA)26SOR	39	0.34106	0.71288	0.999905	28	6	0.2566	0.78083	0.83311	0.999995	59	1	0.2566		GNB5	8	0.44305	0.58719	0.999585	28	2	-0.059269	0.44981	0.45013	0.999995	34	0	-0.059269		PMS2	8	0.19605	0.40147	0.997178	28	3	0.29638	0.8316	0.83148	0.999995	62	0	0.29638
KDM2B	8	0.38757	0.55566	0.999905	29	1	0.21253	0.40049	0.40091	0.999995	33	0	0.21253		KDM5A	8	0.46956	0.61126	0.999585	29	2	0.076142	0.85342	0.85379	0.999995	62	0	0.076142		BCL2	8	0.22855	0.43563	0.997178	29	3	-0.064469	0.67416	0.67427	0.999995	52	0	-0.064469
SSXB2	8	0.43154	0.58967	0.999905	30	2	-0.080041	0.6263	0.62657	0.999995	48	0	-0.080041		ZFP622	8	0.47331	0.61457	0.999585	30	2	0.2818	0.86598	0.86632	0.999995	65	0	0.2818		NOTCH2	8	0.23039	0.43763	0.997178	30	3	0.32239	0.78192	0.78131	0.999995	58	0	0.32239
VPS39	8	0.44384	0.59899	0.999905	31	2	0.10828	0.072673	0.12226	0.982822	10	1	0.10828		ESPN	8	0.4845	0.6252	0.999585	31	2	0.079953	0.13629	0.17258	0.842576	17	1	0.079953		PDCD11	8	0.25046	0.45735	0.997178	31	2	0.86872	0.65491	0.65492	0.999995	50	0	0.86872
STAT3	8	0.45572	0.60853	0.999905	32	1	0.40903	0.67789	0.67809	0.999995	53	0	0.40903		RHBDD1	8	0.4882	0.62844	0.999585	32	2	0.43862	0.41317	0.41373	0.999995	33	0	0.43862		SERPINB9	8	0.25829	0.46535	0.997178	32	3	-0.45101	0.97474	0.97502	0.999995	76	0	-0.45101
CCDC130	8	0.47331	0.62297	0.999905	33	2	0.014575	0.68887	0.68859	0.999995	54	0	0.014575		TGFB1	8	0.49925	0.63841	0.999585	33	2	0.031864	0.78455	0.78392	0.999995	54	0	0.031864		TGFB1	8	0.2898	0.49804	0.997178	33	3	-0.2167	0.60014	0.60307	0.999995	46	1	-0.2167
ABCC1	8	0.48078	0.62917	0.999905	34	2	0.037345	0.034511	0.063942	0.884536	7	1	0.037345		PRKAA2	8	0.50656	0.64467	0.999585	34	2	-0.11082	0.063258	0.10773	0.687811	13	1	-0.11082		DDX59	8	0.32637	0.5366	0.997178	34	1	0.73972	0.31925	0.4055	0.999995	30	1	0.73972
ZFP317	8	0.4845	0.63248	0.999905	35	2	0.064476	0.22053	0.23827	0.982822	20	1	0.064476		negCtrl_COL1A1	41	0.5104	0.83619	0.999585	35	8	0.15767	0.38762	0.58636	0.999995	30	2	0.15767		KDM5C	8	0.33349	0.54411	0.997178	35	2	-0.38457	0.98479	0.98483	0.999995	77	0	-0.38457
